formula,reduced_formula,solubility_0C,solubility_10C,solubility_20C,solubility_25C,solubility_30C,solubility_40C,solubility_50C,solubility_60C,solubility_70C,solubility_80C,solubility_90C,solubility_100C
Cs2SO4,Cs2SO4,1.674e+02,1.732e+02,1.786e+02,1.817e+02,1.841e+02,1.899e+02,1.950e+02,2.003e+02,2.058e+02,2.106e+02,2.155e+02,2.205e+02
CsBr,CsBr,,,,1.232e+02,,,,,,,,
CsBrO3,CsBrO3,1.170e+00,1.970e+00,3.100e+00,3.830e+00,4.670e+00,6.750e+00,9.410e+00,1.276e+01,1.689e+01,2.189e+01,2.793e+01,3.510e+01
CsCl,CsCl,1.620e+02,1.738e+02,1.854e+02,1.910e+02,1.967e+02,2.077e+02,2.185e+02,2.291e+02,2.394e+02,2.497e+02,2.598e+02,2.698e+02
CsClO3,CsClO3,2.460e+00,4.030e+00,6.320e+00,7.780e+00,9.520e+00,1.383e+01,1.952e+01,2.681e+01,3.596e+01,4.728e+01,6.100e+01,7.674e+01
CsClO4,CsClO4,8.000e-01,1.020e+00,1.530e+00,2.000e+00,2.640e+00,4.470e+00,7.010e+00,1.024e+01,1.417e+01,1.876e+01,2.405e+01,2.999e+01
CsI,CsI,4.472e+01,5.924e+01,7.606e+01,8.484e+01,9.455e+01,1.141e+02,1.342e+02,1.544e+02,1.747e+02,1.933e+02,2.096e+02,2.247e+02
CsIO3,CsIO3,1.090e+00,1.610e+00,2.260e+00,2.660e+00,3.110e+00,4.120e+00,5.330e+00,6.710e+00,8.340e+00,1.013e+01,1.210e+01,1.422e+01
CsIO4,CsIO4,,,,7.355e-02,,,,,,,,
CsNO3,CsNO3,9.240e+00,1.494e+01,2.285e+01,2.788e+01,3.351e+01,4.706e+01,6.393e+01,8.416e+01,1.079e+02,1.342e+02,1.638e+02,1.959e+02
CsOH,CsHO,,,,,3.000e+02,,,,,,,
Cu(ClO4)2,Cu(ClO4)2,1.188e+02,,,,1.457e+02,,,,,,,
Cu(IO3)2(H2O),CuH2I2O7,,,,1.117e-01,,,,,,,,
Cu(NO3)2,Cu(NO3)2,8.248e+01,9.920e+01,1.288e+02,1.451e+02,1.571e+02,1.632e+02,1.710e+02,1.817e+02,1.933e+02,2.077e+02,2.247e+02,2.448e+02
Cu3(AsO4)2,Cu3(AsO4)2,,,,1.754e-06,,,,,,,,
Cu3(PO4)2,Cu3(PO4)2,,,,6.353e-07,,,,,,,,
CuBr,CuBr,,,,1.136e-03,,,,,,,,
CuBr2,CuBr2,,,,1.262e+02,,,,,,,,
CuC2O4,Cu(CO2)2,,,,7.279e-03,,,,,,,,
CuCN,CuCN,,,,1.668e-09,,,,,,,,
CuCl,CuCl,,,,4.106e-03,,,,,,,,
CuCl2,CuCl2,6.892e+01,7.153e+01,7.422e+01,7.575e+01,7.762e+01,8.116e+01,8.519e+01,8.939e+01,9.417e+01,9.960e+01,1.053e+02,1.114e+02
CuF2,CuF2,,,,8.000e-02,,,,,,,,
CuI,CuI,,,,2.146e-05,,,,,,,,
CuSCN,CuCSN,,,,5.117e-06,,,,,,,,
CuSO4,CuSO4,1.416e+01,1.682e+01,2.005e+01,2.195e+01,2.392e+01,2.853e+01,3.405e+01,4.045e+01,4.793e+01,5.699e+01,6.750e+01,7.699e+01
CuSeO4,CuSeO4,1.186e+01,,,1.905e+01,,,,,,,,
Dy(NO3)3,Dy(NO3)3,1.427e+02,1.499e+02,1.597e+02,1.656e+02,1.724e+02,1.893e+02,2.129e+02,2.519e+02,,,,
Er(NO3)3,Er(NO3)3,1.603e+02,1.714e+02,1.844e+02,1.920e+02,2.002e+02,2.195e+02,2.443e+02,2.794e+02,3.494e+02,,,
Eu(NO3)3,Eu(NO3)3,1.232e+02,1.309e+02,1.410e+02,1.463e+02,1.525e+02,1.667e+02,1.825e+02,,,,,
Eu(OH)3,Eu(HO)3,,,,2.771e-06,,,,,,,,
Fe(ClO4)2,Fe(ClO4)2,1.732e+02,,,2.102e+02,,,,,,,,
Fe(NO3)2,Fe(NO3)2,7.077e+01,,,8.751e+01,,,,,,,,
Fe(NO3)3,Fe(NO3)3,6.708e+01,,,8.716e+01,,,,,,,,
